Freq[Hz]     dBSPL  Phase[Deg]
5.00000     32.194  -128.190
5.07273     32.353  -128.268
5.14651     32.559  -128.366
5.22137     32.834  -128.490
5.29732     33.137  -128.610
5.37437     33.471  -128.740
5.45254     33.805  -128.865
5.53185     34.138  -128.991
5.61231     34.472  -129.117
5.69394     34.805  -129.245
5.77676     35.139  -129.374
5.86079     35.472  -129.505
5.94604     35.806  -129.637
6.03252     36.139  -129.771
6.12027     36.473  -129.906
6.20929     36.806  -130.043
6.29961     37.140  -130.182
6.39124     37.473  -130.323
6.48420     37.807  -130.466
6.57851     38.140  -130.610
6.67420     38.474  -130.756
6.77128     38.807  -130.904
6.86977     39.141  -131.054
6.96969     39.474  -131.206
7.07107     39.808  -131.360
7.17392     40.141  -131.517
7.27827     40.475  -131.675
7.38413     40.808  -131.836
7.49154     41.142  -131.998
7.60050     41.475  -132.163
7.71105     41.809  -132.330
7.82321     42.142  -132.499
7.93701     42.476  -132.671
8.05245     42.810  -132.846
8.16958     43.143  -133.022
8.28841     43.477  -133.201
8.40896     43.810  -133.383
8.53128     44.144  -133.567
8.65537     44.477  -133.754
8.78126     44.811  -133.944
8.90899     45.144  -134.136
9.03857     45.478  -134.331
9.17004     45.811  -134.528
9.30342     46.145  -134.729
9.43874     46.478  -134.932
9.57603     46.812  -135.138
9.71532     47.145  -135.347
9.85663     47.479  -135.559
10.0000     47.812  -135.774
10.1455     48.146  -135.992
10.2930     48.479  -136.214
10.4427     48.813  -136.438
10.5946     49.146  -136.666
10.7487     49.480  -136.897
10.9051     49.813  -137.131
11.0637     50.147  -137.369
11.2246     50.480  -137.610
11.3879     50.814  -137.855
11.5535     51.148  -138.103
11.7216     51.481  -138.354
11.8921     51.815  -138.610
12.0650     52.148  -138.869
12.2405     52.482  -139.132
12.4186     52.815  -139.399
12.5992     53.149  -139.669
12.7825     53.482  -139.944
12.9684     53.816  -140.223
13.1570     54.149  -140.505
13.3484     54.483  -140.792
13.5426     54.816  -141.083
13.7395     55.150  -141.378
13.9394     55.483  -141.677
14.1421     55.817  -141.981
14.3478     56.150  -142.290
14.5565     56.484  -142.603
14.7683     56.817  -142.920
14.9831     57.151  -143.243
15.2010     57.484  -143.570
15.4221     57.818  -143.902
15.6464     58.151  -144.239
15.8740     58.485  -144.581
16.1049     58.818  -144.928
16.3392     59.152  -145.280
16.5768     59.485  -145.637
16.8179     59.819  -146.000
17.0626     60.153  -146.368
17.3107     60.486  -146.741
17.5625     60.820  -147.120
17.8180     61.153  -147.505
18.0771     61.487  -147.895
18.3401     61.820  -148.291
18.6068     62.154  -148.693
18.8775     62.487  -149.101
19.1521     62.821  -149.515
19.4306     63.154  -149.935
19.7133     63.488  -150.361
20.0000     63.821  -150.794
20.2909     64.155  -151.233
20.5860     64.488  -151.679
20.8855     64.822  -152.131
21.1893     65.155  -152.590
21.4975     65.489  -153.056
21.8102     65.822  -153.528
22.1274     66.156  -154.008
22.4492     66.489  -154.494
22.7758     66.823  -154.988
23.1071     67.156  -155.489
23.4432     67.490  -155.997
23.7841     67.823  -156.512
24.1301     68.157  -157.035
24.4811     68.491  -157.565
24.8372     68.824  -158.102
25.1984     69.158  -158.646
25.5649     69.491  -159.198
25.9368     69.825  -159.757
26.3141     70.158  -160.323
26.6968     70.492  -160.896
27.0851     70.825  -161.476
27.4791     71.159  -162.062
27.8788     71.492  -162.654
28.2843     71.826  -163.251
28.6957     72.159  -163.852
29.1131     72.493  -164.457
29.5365     72.826  -165.063
29.9661     73.160  -165.669
30.4020     73.493  -166.271
30.8442     73.827  -166.862
31.2929     74.160  -167.436
31.7480     74.494  -167.969
32.2098     74.834  -168.445
32.6783     75.188  -168.853
33.1536     75.574  -169.227
33.6359     75.996  -169.662
34.1251     76.447  -170.251
34.6215     76.921  -171.078
35.1250     77.397  -172.217
35.6359     77.852  -173.665
36.1543     78.267  -175.350
